n;MC1;MC2;MC3;MC4;Q lenght
e3q1c;Q83#4;3;2014/07/16 14:00;Question 1 but with more measurements
5;23.690264864864865;23.964744864864873;23.507537567567564;23.416587297297291;38
10;23.896995072463756;24.045722898550739;23.725585072463758;23.389999130434777;72
15;23.666025777777758;23.937963333333336;23.704397999999998;23.438364222222219;97
20;23.657507168141588;23.981696194690269;23.729583805309712;23.422235929203524;122
25;23.777438897058822;24.216290220588235;23.937021985294091;23.744830073529393;147
30;23.890842364864863;24.202621081081087;23.9812114189189;23.82691885135133;165
35;23.854232578616347;24.134309433962262;23.948509245283002;23.776500566037722;180
40;23.887419239766086;24.110641286549704;23.94807192982454;23.811881345029214;195
45;23.918742622950813;24.092955355191247;23.993271038251347;23.820780819672109;210
50;23.952714020618554;24.068821237113397;23.989826597938126;23.812340567010292;225
55;23.967387707317069;24.095779707317082;23.990914048780471;23.753073317073163;240
60;23.969902930232557;24.090112465116288;24.018668372093;23.74961079069767;255
65;23.9842222907489;24.082847268722485;24.021899207048438;23.74933334801764;270
70;23.860078381742738;23.935262448132793;23.908693029045633;23.66089875518675;285
75;23.934198627450971;23.905346549019622;23.967516549019592;23.751939960784345;300
80;24.00587307407406;23.871672370370387;24.078042703703684;23.827613629629653;315
85;24.017025263157887;23.808936456140351;24.108826631578928;23.856302105263183;330
90;24.057424242424233;23.786023299663306;24.171272861952836;23.899644074074104;345
95;24.054270390879477;23.826618436482089;24.196486710097687;23.910929934853449;360
100;24.044969369085177;23.8508312933754;24.223572050473152;23.899626593059963;375
105;24.017223414634152;23.857459359756092;24.230354176829231;23.86926064024393;390
110;23.99310184750734;23.823186158357764;24.295421026392933;23.858509706744897;405
115;23.982234568965527;23.824281379310335;24.274628965517223;23.854120028735665;420
120;23.995570849858371;23.835277393767687;24.283126855524056;23.863675099150171;430
125;24.003884229691892;23.843264397759082;24.282182464985972;23.870538403361373;440
130;24.019600193370181;23.856735027624293;24.284766353591134;23.882639309392289;450
135;24.026086064690045;23.848884878706169;24.287278382749303;23.890842129380076;460
140;24.033465291005317;23.85382150793648;24.298596957671936;23.91513539682542;470
145;24.052851778350544;23.870504458762866;24.32127567010307;23.940523350515491;480
150;24.093877002518933;23.91940627204028;24.360861259445819;23.968589042821176;490
155;24.094072162162192;23.895659410319386;24.366656707616681;23.995801302211319;500
160;24.094035731414905;23.884151822541931;24.370139328537149;24.021040455635497;510
165;24.099246955503546;23.890497213114728;24.331041311475399;24.041075316159255;520
170;24.074389214780638;23.867953487297893;24.281752563510388;24.013034434180135;530
175;24.028829816933673;23.830531006864959;24.243805080091526;23.970767848970247;540
180;23.987976049661437;23.79936119638824;24.196002731376971;23.935622325056425;550
185;23.986564665178609;23.814060624999975;24.205703549107135;23.949253058035701;560
190;23.99744726477028;23.830468533916832;24.209376542669578;23.981649431072192;570
195;24.002422355460421;23.844498608137027;24.205064839400425;24.012270278372572;580
200;24.036257600000035;23.875923810526313;24.22544357894737;24.063898757894709;588
205;24.033335355648568;23.874719079497904;24.227587677824264;24.082002531380727;593
210;24.033335355648568;23.874719079497904;24.227587677824264;24.082002531380727;598
215;24.031501691022996;23.874013674321496;24.22541643006263;24.078954446764065;603
220;24.048993975155312;23.899743478260863;24.247294223602481;24.13298590062109;608
225;24.056977638603726;23.918912648870627;24.261593367556465;24.159910102669375;613
230;24.062533394683058;23.912171942740279;24.267252740286292;24.158169979550074;618
235;24.061082163265333;23.876717693877538;24.264011367346932;24.155717326530581;623
240;24.061082163265333;23.876717693877538;24.264011367346932;24.155717326530581;628
245;24.074611768292712;23.889425630081291;24.276591158536576;24.176111443089397;633
250;24.094125130784732;23.920015694164977;24.298830985915487;24.228309074446639;638
255;24.111992609561771;23.940751434262936;24.316557131474102;24.27142627490036;643
260;24.124704753451688;23.963753155818523;24.331421104536485;24.306825207100555;648
265;24.123570784313735;23.972701156862726;24.339657000000003;24.316063470588198;653
270;24.121602734375006;23.959039023437484;24.332795761718749;24.312745644531212;658
275;24.133045600775198;23.986030775193782;24.350665484496123;24.357387519379806;663
280;24.153381708253363;24.015420786948162;24.373204145873313;24.408104011516276;668
285;24.155097205323194;24.01890112167299;24.373497813688207;24.410493098859277;673
290;24.136108377358489;23.993445377358469;24.352002528301881;24.387508415094306;678
295;24.146554596622888;24.007529756097544;24.362102833020632;24.412752795497148;683
300;24.169138122676575;24.033531115241615;24.382959962825268;24.451275910780627;688
305;24.166114751381212;24.050204788213609;24.393199889502757;24.438548232044162;693
310;24.185295729926999;24.071384069343047;24.410806021897798;24.462979215328428;698
315;24.196820379746828;24.088884990958391;24.419887920433986;24.488707124773924;703
320;24.135759874551958;24.081754336917545;24.411972043010739;24.472286164874518;708
325;24.135757384341623;24.073902882562258;24.411476156583614;24.472552882562244;713
330;24.156766243386226;24.101043333333315;24.433885361552012;24.51682712522042;718
335;24.172106835664316;24.120388968531451;24.449054580419563;24.541050297202759;723
340;24.167606481802405;24.079953154246084;24.436327244367401;24.529929462738266;728
345;24.174599862542934;24.088962233676963;24.436614295532632;24.534285481099623;733
350;24.195825826235069;24.114644105621792;24.458920630323664;24.574259676320242;738
355;24.215482837837808;24.140401469594586;24.474135979729713;24.605035304054024;743
360;24.209503869346705;24.137853819095465;24.422901356783907;24.583412847571157;748
365;24.212672259136184;24.15353717607972;24.417578455149492;24.594186877076382;753
370;24.231443080724855;24.180745189456331;24.439734481054359;24.640901993410182;758
375;24.24895563725488;24.206458954248355;24.461706911764697;24.686093823529379;763
380;24.254256191247951;24.215893792544559;24.465075948136136;24.693154116693641;768
385;24.25926428341382;24.218897101449269;24.465466553945248;24.694190096618325;773
390;24.264855935999968;24.222678815999991;24.462865183999998;24.694469839999964;778
395;24.273715317460294;24.235827349206339;24.464391000000003;24.709312603174563;783
400;24.259947669291314;24.225286110236208;24.439050094488191;24.691416944881851;788
405;24.254183062499976;24.216118359374985;24.422594328125001;24.680839124999959;793
410;24.248427612403074;24.208427348837194;24.385126976744193;24.670345085271279;798
415;24.250175999999975;24.211780076923059;24.370208446153846;24.664156692307657;803
420;24.251804693251511;24.213251825153357;24.370122837423313;24.664020260736159;808
425;24.250221430745793;24.195329604261772;24.363496377473368;24.658679071537254;813
430;24.250336671709505;24.199047972768511;24.363671724659614;24.653354099848674;818
435;24.248673648648623;24.192474369369346;24.359087942942953;24.649946726726686;823
440;24.246733472429177;24.182131222056611;24.349296080476911;24.642072622950796;828
445;24.252685748148114;24.178761762962942;24.35065574814816;24.643341051851831;833
450;24.252893858615582;24.176411207658298;24.349113976435952;24.641709116347549;838
455;24.257246266471416;24.172716251830131;24.349363821376297;24.642272459736436;843
460;24.253657616279046;24.156552209302301;24.349656148255832;24.642451933139519;848
465;24.245574978354959;24.146129018758995;24.349261890331906;24.639176551226534;853
470;24.248501850789079;24.149937690100394;24.345779985652818;24.639743113342888;858
475;24.251974729344724;24.148007378917338;24.346092008547032;24.639937022792015;863
480;24.260895633001414;24.156616955903235;24.354222716927481;24.650619331436697;868
485;24.281105665722372;24.176296685552369;24.371518810198324;24.672833526912182;873
490;24.297334267605628;24.196725380281649;24.393265915492972;24.689695056338028;878
495;24.297620534458503;24.200118593530195;24.395424571026734;24.688873839662449;883
;;;;
